name,author,genres,
The Joy Luck Club,Amy Tan,"Others, Daily","Daily, Detective, fatasy, thriller, series "
The Kite Runner,Khaled Hossein,Others,
The Alchemist,Paulo Coelho,Others,
The Road,Cormac McCarthy,Others,
Nineteen Eighty-Four (1984),George Orwell,Others,
Metamorphosis,Franz Kafka,Others,
Brave New World,Aldous Huxley,"Others, Fantasy",
"Kim Ji-young, Born 1982",Cho Nam-ju,"Others, Daily",
The Old Man and the Sea,Ernest Hemingway,Others,
Norwegian Wood,Haruki Murakami,Others,
The Great Gatsby,F. Scott Fitzgerald,Others,
The Five People You Meet in Heaven,Mitch Albom,"Others, Fantasy",
The Story Of A Seagull And The Cat Who Taught Her To Fly,Luis Sepúlveda,Others,
Hankyu Railway,Hiro Arikawa,"Others, Daily",
To Kill a Mockingbird,Harper Lee,Others,
Animal Farm,George Orwell,Others,
Still Life,Sarah Winman,Others,
The Midnight Library,Matt Haig,"Others, Fantasy",
Fahrenheit 451,Ray Bradbury,"Others, Fantasy",
Life of Pi,David Magee,"Others, Fantasy",
1 Liter of Tears,Aya Kito,"Others, Daily",
Ready Player One,Ernest Cline,"Others, Fantasy",
The Three-Body Problem,Liu Cixin,Others,
Romance of the Three Kingdoms,Luo Guanzhong,Others,
The Little Prince,Antoine de Saint-Exupéry,"Others, Fantasy",
Little Women,Louisa May Alcott,"Others, Daily",
Alice Adventures in Wonderland,Lewis Carroll,Others,
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Others, Daily",
How to Win Friends and Influence People,Dale Carnegie,"Others, Daily",
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg ,"Others, Daily",
The Miracles of Namiya General Store,Keigo Higashino,"Others, Fantasy",
The Devotion of Suspect X,Keigo Higashino,Detective,
Under The Midnight Sun,Keigo Higashino,Detective,
Malice,Keigo Higashino,Detective,
Naoko,Keigo Higashino,Detective,
The Big Sleep ,Raymond Chandler,Detective,
Perfume: The Story of a Murderer ,Patrick Süskind,Detective,
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,Series,
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,Series,
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,Series,
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,Series,
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,Series,
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,Series,
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,Series,
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,Series,
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,Series,
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,Series,
"The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)",Arthur Conan Doyle,Series,
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,Series,
"The Return of Sherlock Holmes (Sherlock Holmes, #6)",Arthur Conan Doyle,Series,
"The Valley of Fear (Sherlock Holmes, #7)",Arthur Conan Doyle,Series,
"His Last Bow (Sherlock Holmes, #8)",Arthur Conan Doyle,Series,
"The Case-Book of Sherlock Holmes (Sherlock Holmes, #9)",Arthur Conan Doyle,Series,
The Hobbit (The Lord of the Rings #1),J. R. R. Tolkien,Series,
The Fellowship of the Ring (The Lord of the Rings #2),J. R. R. Tolkien,Series,
The Two Towers (The Lord of the Rings #3),J. R. R. Tolkien,Series,
The Return of the King (The Lord of the Rings #4),J. R. R. Tolkien,Series,